============================================
Dump: raid_overgod_20260919_161016
============================================

[I] segments loaded: 21189
[I] TLV messages parsed: 31387
[I] S2C: 856148 bytes, 856148 walked
[I] known players (valid range): 437

===== RESULTS =====
Total hits: 428

  Adrianx         ASCII      tag= 492:  1 hits
  Adrianx         UTF-8      tag= 492:  1 hits
  Alferdd         ASCII      tag=  62:  1 hits
  Alferdd         UTF-8      tag=  62:  1 hits
  Angelicais      ASCII      tag=  65:  13 hits
  Angelicais      ASCII      tag= 492:  3 hits
  Angelicais      UTF-16LE   tag=  65:  1 hits
  Angelicais      UTF-16LE   tag= 492:  3 hits
  Angelicais      UTF-8      tag=  65:  13 hits
  Angelicais      UTF-8      tag= 492:  3 hits
  ANOMALIA        UTF-16LE   tag= 206:  2 hits
  ANOMALIA        UTF-16LE   tag= 492:  2 hits
  Anonymous       UTF-16LE   tag= 206:  1 hits
  ANTIELFS        UTF-16LE   tag= 206:  1 hits
  ANTIELFS        UTF-16LE   tag= 492:  2 hits
  Aurelinho       ASCII      tag= 492:  1 hits
  Aurelinho       UTF-8      tag= 492:  1 hits
  Baldwiniv       ASCII      tag= 492:  1 hits
  Baldwiniv       UTF-8      tag= 492:  1 hits
  Banmidou        ASCII      tag= 492:  1 hits
  Banmidou        UTF-8      tag= 492:  1 hits
  Beru            ASCII      tag= 492:  1 hits
  Beru            UTF-8      tag= 492:  1 hits
  Caciquewz       ASCII      tag= 492:  1 hits
  Caciquewz       UTF-8      tag= 492:  1 hits
  Caloteira       ASCII      tag= 346:  1 hits
  Caloteira       ASCII      tag= 492:  1 hits
  Caloteira       UTF-16LE   tag=  65:  1 hits
  Caloteira       UTF-16LE   tag= 492:  1 hits
  Caloteira       UTF-8      tag= 346:  1 hits
  Caloteira       UTF-8      tag= 492:  1 hits
  Carsant         ASCII      tag= 492:  2 hits
  Carsant         UTF-8      tag= 492:  2 hits
  Cavalarian      ASCII      tag= 492:  1 hits
  Cavalarian      UTF-8      tag= 492:  1 hits
  Cavvveira       ASCII      tag= 492:  1 hits
  Cavvveira       UTF-8      tag= 492:  1 hits
  Centablg        ASCII      tag= 492:  1 hits
  Centablg        UTF-16LE   tag= 492:  1 hits
  Centablg        UTF-8      tag= 492:  1 hits
  Crasique        ASCII      tag=  65:  6 hits
  Crasique        UTF-8      tag=  65:  6 hits
  Darkstalke      ASCII      tag= 492:  1 hits
  Darkstalke      UTF-8      tag= 492:  1 hits
  Discipulo       ASCII      tag= 492:  1 hits
  Discipulo       UTF-8      tag= 492:  1 hits
  Dkpatex         ASCII      tag=  65:  1 hits
  Dkpatex         UTF-8      tag=  65:  1 hits
